Prefix	Species name
ENSORL	Oryzias latipes (Japanese medaka HdrR)
ENSFTI	Falco tinnunculus (Common kestrel)
MGP_SPRETEiJ_	Mus spretus (Algerian mouse)
ENSSGR	Sinocyclocheilus grahami (Golden-line barbel)
ENSUTT	Ursus thibetanus thibetanus (Asiatic black bear)
ENSPVA	Pteropus vampyrus (Megabat)
ENSCGO	Cottoperca gobio (Channel bull blenny)
ENSPRN	Parambassis ranga (Indian glassy fish)
ENSHCO	Hippocampus comes (Tiger tail seahorse)
ENSSAU	Sparus aurata (Gilthead seabream)
ENSOCU	Oryctolagus cuniculus (Rabbit)
ENSAOW	Apteryx owenii (Little spotted kiwi)
ENSCCA	Cebus imitator (Panamanian white-faced capuchin)
ENSSOC	Strix occidentalis caurina (Northern spotted owl)
ENSCCR	Cyprinus carpio (Common carp huanghe)
ENSCPR	Crocodylus porosus (Australian saltwater crocodile)
ENSGAG	Gopherus agassizii (Agassiz's desert tortoise)
ENSCJP	Coturnix japonica (Japanese quail)
ENSCVA	Cyprinodon variegatus (Sheepshead minnow)
ENSAZO	Anas zonorhyncha (Eastern spot-billed duck)
ENSCHA	Scleropages formosus (Asian bonytongue)
ENSSFO	Scleropages formosus two (Asian bonytongue)
ENSCMI	Callorhinchus milii (Elephant shark)
ENSUMA	Ursus maritimus (Polar bear)
ENSCHI	Capra hircus (Goat (black bengal))
ENSCJA	Callithrix jacchus (White-tufted-ear marmoset)
ENSSVL	Sciurus vulgaris (Eurasian red squirrel)
ENSPPA	Pan paniscus (Bonobo)
ENSCPG	Calidris pygmaea (Spoon-billed sandpiper)
ENSUPA	Urocitellus parryii (Arctic ground squirrel)
ENSRRO	Rhinopithecus roxellana (Golden snub-nosed monkey)
ENSMUS	Mus musculus (Mouse)
ENSNPE	Nothoprocta perdicaria (Chilean tinamou)
ENSPNY	Pundamilia nyererei (Makobe Island cichlid)
ENSACA	Anolis carolinensis (Green anole)
ENSSSC	Sus scrofa (Pig - Rongchang)
ENSCCE	Cyanistes caeruleus (Blue tit)
ENSEEE	Electrophorus electricus (Electric eel)
ENSSAN	Sinocyclocheilus anshuiensis (Blind barbel)
MGP_129S1SvImJ_	Mus musculus (Mouse 129S1/SvImJ)
ENSAPL	Anas platyrhynchos (Mallard)
ENSMSI	Mus spicilegus (Steppe mouse)
MGP_FVBNJ_	Mus musculus (Mouse FVB/NJ)
ENSSSC	Sus scrofa (Pig - Bamei)
ENSHBU	Haplochromis burtoni (Burton's mouthbrooder)
ENSXET	Xenopus tropicalis (Tropical clawed frog)
ENSMCS	Malurus cyaneus samueli (Superb fairywren)
ENSUAM	Ursus americanus (American black bear)
ENSSLD	Seriola lalandi dorsalis (Yellowtail amberjack)
ENSZLM	Zosterops lateralis melanops (Silver-eye)
ENSRBI	Rhinopithecus bieti (Black snub-nosed monkey)
ENSONI	Oreochromis niloticus (Nile tilapia)
ENSSSC	Sus scrofa (Pig - Hampshire)
ENSBOB	Bubo bubo (Eurasian eagle-owl)
ENSMMU	Macaca mulatta (Macaque)
ENSRNO	Rattus norvegicus (Rat)
ENSANI	Accipiter nisus (Eurasian sparrowhawk)
ENSSCA	Serinus canaria (Common canary)
